Texto da pergunta,Tipo de pergunta,Opção 1,Opção 2,Opção 3,Opção 4,Opção 5,Resposta correta,Tempo em segundos,Link da imagem,Explicação da resposta
"Qual destes não é uma tag HTML válida?",Múltipla escolha,"<div></div>","<main></main>","<bold></bold>","<section></section>",,3,30,https://commons.wikimedia.org/wiki/File:HTML5_Badge.svg,"<bold> não existe no HTML. As demais são tags válidas."
"Estrutura mínima correta do documento?",Múltipla escolha,"<!DOCTYPE html>, <html>...</html>, <head>...</head>, <body>...</body>","<html>...</html>, <header>...</header>, <footer>...</footer>","<html>...</html>, <nav>...</nav>, <section>...</section>","<!DOCTYPE html>, <body>...</body>, <head>...</head>",,1,30,https://commons.wikimedia.org/wiki/File:CSS3_and_HTML5_logos_and_wordmarks.svg,"A estrutura mínima inclui DOCTYPE e as seções <html>, <head> e <body> nessa ordem."
"Texto em itálico e vermelho?",Múltipla escolha,"<em style=""color:red;"">txt</em>","<i color=""red"">txt</i>","<p style=""font-style:italic;color:blue;"">txt</p>","<b style=""color:red;"">txt</b>",,1,30,https://commons.wikimedia.org/wiki/File:HTML5_logo_black.svg,"<em> aplica ênfase semântica; o estilo inline define a cor vermelha. Os demais não atendem ao requisito."
"Tag de parágrafo?",Múltipla escolha,"<p></p>","<para></para>","<text></text>","<pg></pg>",,1,30,https://commons.wikimedia.org/wiki/File:HTML5_oval_logo.png,"O elemento de parágrafo no HTML é <p>."
"Contêiner genérico de bloco?",Múltipla escolha,"<div></div>","<container></container>","<group></group>","<box></box>",,1,30,https://commons.wikimedia.org/wiki/File:HTML5_logo_resized.svg,"<div> é um contêiner genérico de nível de bloco; as outras não são tags HTML."
"Campo que aceita apenas números?",Múltipla escolha,"<input type=""number"">","<input type=""text"">","<input type=""range"">","<input type=""tel"">",,1,30,https://commons.wikimedia.org/wiki/File:HTML5_Badge.svg,"type=""number"" habilita entradas numéricas com validação. text, range e tel não restringem a números puros."
"Lista não ordenada?",Múltipla escolha,"<ul></ul>","<li></li>","<ol></ol>","<list></list>",,1,30,https://commons.wikimedia.org/wiki/File:CSS3_and_HTML5_logos_and_wordmarks.svg,"<ul> cria listas com marcadores. <ol> é ordenada; <li> são itens; <list> não existe."
"Link clicável?",Múltipla escolha,"<a href=""https://exemplo.com"">Exemplo</a>","<link rel=""stylesheet"" href=""style.css"">","<href></href>","<url></url>",,1,30,https://commons.wikimedia.org/wiki/File:HTML5_Badge.svg,"<a> cria hiperlinks; <link> liga recursos, não é para navegação; <href> e <url> não são tags."
"Qual não é atributo HTML?",Múltipla escolha,"href","class","padding","id",,3,30,https://commons.wikimedia.org/wiki/File:CSS3_and_HTML5_logos_and_wordmarks.svg,"padding é propriedade CSS, não atributo HTML."
"Onde deve ficar <title>?",Múltipla escolha,"<head>...</head>","<body>...</body>","<html>...</html>","<header>...</header>",,1,30,https://commons.wikimedia.org/wiki/File:HTML5_Badge.svg,"<title> pertence ao <head>."
